Symbol,Company Name,Industry,market_cap
360ONE,360 ONE WAM Ltd.,Financial Services,Midcap
3MINDIA,3M India Ltd.,Diversified,Midcap
ACC,ACC Ltd.,Construction Materials,Midcap
AIAENG,AIA Engineering Ltd.,Capital Goods,Midcap
APLAPOLLO,APL Apollo Tubes Ltd.,Capital Goods,Midcap
AUBANK,AU Small Finance Bank Ltd.,Financial Services,Midcap
AWL,AWL Agri Business Ltd.,Fast Moving Consumer Goods,Midcap
ABBOTINDIA,Abbott India Ltd.,Healthcare,Midcap
ATGL,Adani Total Gas Ltd.,Oil Gas & Consumable Fuels,Midcap
ABCAPITAL,Aditya Birla Capital Ltd.,Financial Services,Midcap
AJANTPHARM,Ajanta Pharmaceuticals Ltd.,Healthcare,Midcap
ALKEM,Alkem Laboratories Ltd.,Healthcare,Midcap
APARINDS,Apar Industries Ltd.,Capital Goods,Midcap
APOLLOTYRE,Apollo Tyres Ltd.,Automobile and Auto Components,Midcap
ASHOKLEY,Ashok Leyland Ltd.,Capital Goods,Midcap
ASTRAL,Astral Ltd.,Capital Goods,Midcap
AUROPHARMA,Aurobindo Pharma Ltd.,Healthcare,Midcap
BSE,BSE Ltd.,Financial Services,Midcap
BALKRISIND,Balkrishna Industries Ltd.,Automobile and Auto Components,Midcap
BANKINDIA,Bank of India,Financial Services,Midcap
MAHABANK,Bank of Maharashtra,Financial Services,Midcap
BERGEPAINT,Berger Paints India Ltd.,Consumer Durables,Midcap
BDL,Bharat Dynamics Ltd.,Capital Goods,Midcap
BHARATFORG,Bharat Forge Ltd.,Automobile and Auto Components,Midcap
BHEL,Bharat Heavy Electricals Ltd.,Capital Goods,Midcap
BHARTIHEXA,Bharti Hexacom Ltd.,Telecommunication,Midcap
BIOCON,Biocon Ltd.,Healthcare,Midcap
BLUESTARCO,Blue Star Ltd.,Consumer Durables,Midcap
CRISIL,CRISIL Ltd.,Financial Services,Midcap
COCHINSHIP,Cochin Shipyard Ltd.,Capital Goods,Midcap
COFORGE,Coforge Ltd.,Information Technology,Midcap
COLPAL,Colgate Palmolive (India) Ltd.,Fast Moving Consumer Goods,Midcap
CONCOR,Container Corporation of India Ltd.,Services,Midcap
COROMANDEL,Coromandel International Ltd.,Chemicals,Midcap
CUMMINSIND,Cummins India Ltd.,Capital Goods,Midcap
DABUR,Dabur India Ltd.,Fast Moving Consumer Goods,Midcap
DALBHARAT,Dalmia Bharat Ltd.,Construction Materials,Midcap
DEEPAKNTR,Deepak Nitrite Ltd.,Chemicals,Midcap
DIXON,Dixon Technologies (India) Ltd.,Consumer Durables,Midcap
ENDURANCE,Endurance Technologies Ltd.,Automobile and Auto Components,Midcap
ESCORTS,Escorts Kubota Ltd.,Capital Goods,Midcap
EXIDEIND,Exide Industries Ltd.,Automobile and Auto Components,Midcap
NYKAA,FSN E-Commerce Ventures Ltd.,Consumer Services,Midcap
FEDERALBNK,Federal Bank Ltd.,Financial Services,Midcap
FACT,Fertilisers and Chemicals Travancore Ltd.,Chemicals,Midcap
FORTIS,Fortis Healthcare Ltd.,Healthcare,Midcap
GVT&D,GE Vernova T&D India Ltd.,Capital Goods,Midcap
GMRAIRPORT,GMR Airports Ltd.,Services,Midcap
GICRE,General Insurance Corporation of India,Financial Services,Midcap
GLAXO,Glaxosmithkline Pharmaceuticals Ltd.,Healthcare,Midcap
GLENMARK,Glenmark Pharmaceuticals Ltd.,Healthcare,Midcap
MEDANTA,Global Health Ltd.,Healthcare,Midcap
GODFRYPHLP,Godfrey Phillips India Ltd.,Fast Moving Consumer Goods,Midcap
GODREJIND,Godrej Industries Ltd.,Diversified,Midcap
GODREJPROP,Godrej Properties Ltd.,Realty,Midcap
FLUOROCHEM,Gujarat Fluorochemicals Ltd.,Chemicals,Midcap
GUJGASLTD,Gujarat Gas Ltd.,Oil Gas & Consumable Fuels,Midcap
HDFCAMC,HDFC Asset Management Company Ltd.,Financial Services,Midcap
HEROMOTOCO,Hero MotoCorp Ltd.,Automobile and Auto Components,Midcap
HEXT,Hexaware Technologies Ltd.,Information Technology,Midcap
HINDPETRO,Hindustan Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,Midcap
POWERINDIA,Hitachi Energy India Ltd.,Capital Goods,Midcap
HONAUT,Honeywell Automation India Ltd.,Capital Goods,Midcap
HUDCO,Housing & Urban Development Corporation Ltd.,Financial Services,Midcap
ICICIPRULI,ICICI Prudential Life Insurance Company Ltd.,Financial Services,Midcap
IDBI,IDBI Bank Ltd.,Financial Services,Midcap
IDFCFIRSTB,IDFC First Bank Ltd.,Financial Services,Midcap
IRB,IRB Infrastructure Developers Ltd.,Construction,Midcap
ITCHOTELS,ITC Hotels Ltd.,Consumer Services,Midcap
INDIANB,Indian Bank,Financial Services,Midcap
IOB,Indian Overseas Bank,Financial Services,Midcap
IRCTC,Indian Railway Catering And Tourism Corporation Ltd.,Consumer Services,Midcap
IREDA,Indian Renewable Energy Development Agency Ltd.,Financial Services,Midcap
IGL,Indraprastha Gas Ltd.,Oil Gas & Consumable Fuels,Midcap
INDUSTOWER,Indus Towers Ltd.,Telecommunication,Midcap
INDUSINDBK,IndusInd Bank Ltd.,Financial Services,Midcap
IPCALAB,Ipca Laboratories Ltd.,Healthcare,Midcap
JKCEMENT,J.K. Cement Ltd.,Construction Materials,Midcap
JSWINFRA,JSW Infrastructure Ltd.,Services,Midcap
JSL,Jindal Stainless Ltd.,Metals & Mining,Midcap
JUBLFOOD,Jubilant Foodworks Ltd.,Consumer Services,Midcap
KPRMILL,K.P.R. Mill Ltd.,Textiles,Midcap
KEI,KEI Industries Ltd.,Capital Goods,Midcap
KPITTECH,KPIT Technologies Ltd.,Information Technology,Midcap
KALYANKJIL,Kalyan Jewellers India Ltd.,Consumer Durables,Midcap
LTF,L&T Finance Ltd.,Financial Services,Midcap
LTTS,L&T Technology Services Ltd.,Information Technology,Midcap
LICHSGFIN,LIC Housing Finance Ltd.,Financial Services,Midcap
LINDEINDIA,Linde India Ltd.,Chemicals,Midcap
LLOYDSME,Lloyds Metals And Energy Ltd.,Metals & Mining,Midcap
LUPIN,Lupin Ltd.,Healthcare,Midcap
MRF,MRF Ltd.,Automobile and Auto Components,Midcap
M&MFIN,Mahindra & Mahindra Financial Services Ltd.,Financial Services,Midcap
MANKIND,Mankind Pharma Ltd.,Healthcare,Midcap
MARICO,Marico Ltd.,Fast Moving Consumer Goods,Midcap
MFSL,Max Financial Services Ltd.,Financial Services,Midcap
MOTILALOFS,Motilal Oswal Financial Services Ltd.,Financial Services,Midcap
MPHASIS,MphasiS Ltd.,Information Technology,Midcap
MUTHOOTFIN,Muthoot Finance Ltd.,Financial Services,Midcap
NHPC,NHPC Ltd.,Power,Midcap
NLCINDIA,NLC India Ltd.,Power,Midcap
NMDC,NMDC Ltd.,Metals & Mining,Midcap
NTPCGREEN,NTPC Green Energy Ltd.,Power,Midcap
NATIONALUM,National Aluminium Co. Ltd.,Metals & Mining,Midcap
NAM-INDIA,Nippon Life India Asset Management Ltd.,Financial Services,Midcap
OBEROIRLTY,Oberoi Realty Ltd.,Realty,Midcap
OIL,Oil India Ltd.,Oil Gas & Consumable Fuels,Midcap
PAYTM,One 97 Communications Ltd.,Financial Services,Midcap
OFSS,Oracle Financial Services Software Ltd.,Information Technology,Midcap
POLICYBZR,PB Fintech Ltd.,Financial Services,Midcap
PIIND,PI Industries Ltd.,Chemicals,Midcap
PAGEIND,Page Industries Ltd.,Textiles,Midcap
PATANJALI,Patanjali Foods Ltd.,Fast Moving Consumer Goods,Midcap
PERSISTENT,Persistent Systems Ltd.,Information Technology,Midcap
PETRONET,Petronet LNG Ltd.,Oil Gas & Consumable Fuels,Midcap
PHOENIXLTD,Phoenix Mills Ltd.,Realty,Midcap
POLYCAB,Polycab India Ltd.,Capital Goods,Midcap
PREMIERENE,Premier Energies Ltd.,Capital Goods,Midcap
PRESTIGE,Prestige Estates Projects Ltd.,Realty,Midcap
PGHH,Procter & Gamble Hygiene & Health Care Ltd.,Fast Moving Consumer Goods,Midcap
RVNL,Rail Vikas Nigam Ltd.,Construction,Midcap
SBICARD,SBI Cards and Payment Services Ltd.,Financial Services,Midcap
SJVN,SJVN Ltd.,Power,Midcap
SRF,SRF Ltd.,Chemicals,Midcap
SCHAEFFLER,Schaeffler India Ltd.,Automobile and Auto Components,Midcap
SONACOMS,Sona BLW Precision Forgings Ltd.,Automobile and Auto Components,Midcap
SAIL,Steel Authority of India Ltd.,Metals & Mining,Midcap
SUNDARMFIN,Sundaram Finance Ltd.,Financial Services,Midcap
SUPREMEIND,Supreme Industries Ltd.,Capital Goods,Midcap
SUZLON,Suzlon Energy Ltd.,Capital Goods,Midcap
SWIGGY,Swiggy Ltd.,Consumer Services,Midcap
SYNGENE,Syngene International Ltd.,Healthcare,Midcap
TATACOMM,Tata Communications Ltd.,Telecommunication,Midcap
TATAELXSI,Tata Elxsi Ltd.,Information Technology,Midcap
TATAINVEST,Tata Investment Corporation Ltd.,Financial Services,Midcap
TATATECH,Tata Technologies Ltd.,Information Technology,Midcap
NIACL,The New India Assurance Company Ltd.,Financial Services,Midcap
THERMAX,Thermax Ltd.,Capital Goods,Midcap
TORNTPOWER,Torrent Power Ltd.,Power,Midcap
TIINDIA,Tube Investments of India Ltd.,Automobile and Auto Components,Midcap
UCOBANK,UCO Bank,Financial Services,Midcap
UNOMINDA,UNO Minda Ltd.,Automobile and Auto Components,Midcap
UPL,UPL Ltd.,Chemicals,Midcap
UNIONBANK,Union Bank of India,Financial Services,Midcap
UBL,United Breweries Ltd.,Fast Moving Consumer Goods,Midcap
VMM,Vishal Mega Mart Ltd.,Consumer Services,Midcap
IDEA,Vodafone Idea Ltd.,Telecommunication,Midcap
VOLTAS,Voltas Ltd.,Consumer Durables,Midcap
WAAREEENER,Waaree Energies Ltd.,Capital Goods,Midcap
YESBANK,Yes Bank Ltd.,Financial Services,Midcap
